26 90
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx	EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx	hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx
2-Aminoadipate	8.2	8.2	8.2	8.2	8.2	2.2	2.2	1.1	1.4	0	0	0	0	0	0	0	0	0	0	0	3.9	5.4	4.5	3.8	3.6	5.4
2-Aminobutyrate	3.9	3.9	3.9	6.3	3.9	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	3.1	3.9	2.9	2.4	2.9	3.9
2-Hydroxyglutarate	31.7	31.7	31.7	31.7	31.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	5.7	5.7	4.1	1.9	5.7
2-Hydroxyvalerate	63.2	59.6	60.3	63.2	56.4	8.5	9.7	8.3	5.1	0	0	0	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5	13.5	15.8	20.8	15.2	10.7	15.8
2-Oxobutyrate	0	0	0	0	0	0	0	0	0	0.5	1.2	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxoglutarate	1.7	1.7	1.7	1.7	1.7	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.4	1.1	0.4	0.2
2-Phosphoglycerate	33.7	33.7	33.7	33.7	33.7	8.1	8.1	8.1	8.1	0	0	0	0	0	0	0	0	0	0	0	22.5	32.2	30.4	16.8	25.2	33.7
3-Methyl-2-oxovalerate	0	0	0	0	0	0	0	0	0	0.6	0.9	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-Aminobutyrate	129.6	143.9	142.8	129.6	138.6	1.8	0.9	1.8	1.3	2.7	4.9	5.4	7.2	3.5	4.6	1	2.9	2.2	5	1.4	3.3	7.2	4.6	2.2	2.9	3.3
5-Hydroxylysine	46.7	43.1	34.4	32.8	35.8	0	0	0	0	9.7	12.3	17.8	0	0	0	0	0	0	0	0	0.9	9.3	13	11.4	9.3	9.3
Acetamide	18.3	18.3	18.3	18.3	16.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetate	6.3	6.3	6.3	6.3	6.8	0	0	0	0	0.7	1	1.2	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8	3.2	3	3	2.9	2.7	2.8
Adenine	7.5	7.5	7.1	7.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	2	2.8	1.3	1.8	2.7
Adenosine	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP	11.5	11.4	12.9	12.8	12.5	1.7	1.7	1.5	1.3	2	2	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine	30.6	31.1	30.6	29.8	37.2	1.8	1.6	1.3	1.1	1.5	3.4	4.4	15	15.3	20.9	2.4	4.6	4.8	26.5	3.6	4.2	4.3	4	4.3	2.5	4.6
Alloisoleucine	0	0	0	0	0	0	0	0	0	1.5	1.3	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP	16.9	18.7	16.7	15.9	18	0.7	0.6	0.6	0.7	0.7	1	1.4	4.5	3.4	2.5	3.7	2.7	1.6	1	1.1	0	0	0	0	0	0
Anserine	7.8	6.2	7.8	6	6.2	0.4	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	1.3	1.7	1.3	1.1	1.3	1.3
Arginine	10.3	10.3	7.3	5.9	10.3	0.5	0.5	0.5	0.5	1	1.9	0.4	12.7	14.1	19.7	2.3	3.5	3.8	13	1.9	8	7.2	6.8	4.8	3.1	6.8
Ascorbate	2.2	2.2	2.2	2.2	2.2	1.2	1.2	1.2	0.8	0	0	0	0	0	0	0	0	0	0	0	3.6	2.5	2.2	1.5	2.2	2.2
Asparagine	12.1	12.1	18.1	12.1	12.1	3.5	1.1	3.5	1.1	0	0	0	0	0	0	0	0	0	0	0	7	5.6	8.2	4.6	6.1	8.2
Aspartate	7.2	7.2	7.2	7.2	7.2	1.1	1.1	1.1	1.1	0	0	0	5.6	5.2	5.3	3.3	1.4	1.2	5.2	1.3	3.5	3	3.3	1.9	3.3	3.3
ATP	1	1	1.3	1.2	1	0.5	0.6	0.5	1.5	0.5	0.4	0.4	0	0	0	0	0	0	0	0	8.4	9.1	9.3	9.6	10.6	9.5
Butanone	4.5	4.5	4.5	4.5	4.5	1.2	0.8	0.7	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caprate	4.6	4.6	4.6	4.6	4.6	2.6	1.6	1.3	1.2	0	0	0	0	0	0	0	0	0	0	0	5	6.9	5.7	6.2	1.9	8.2
Carnitine	2.1	2.1	2.1	2.1	2.1	0.5	0.2	0.3	0.2	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnosine	1.2	1.2	1.2	1.2	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	1.4	1.2	1.3	1.3	1.2
Choline	2.8	2.3	2.4	1.7	1.9	0.8	0.7	0.7	0.6	0.7	1.4	1.7	2	2.1	1.9	0.9	0.8	0.5	2.1	0.4	0.5	0.5	0.5	0.4	0.2	0.5
Citrate	4.4	4.4	4.4	4.4	4.4	1	0.5	0.6	0.6	0.9	1	0.8	16.2	12.5	13.5	7.4	5.2	1.8	7.5	2.1	0.5	0.4	1	0.5	0.9	1.1
Citrulline	1.6	1.6	1.6	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	1.6	1.6	1.6	1.6	1.6
Creatine	4.9	4.9	4.9	4.9	4.9	0.4	0.2	0.4	0.2	0	0	0	0	0	0	0	0	0	0	0	1.3	1.2	1	1.5	1	1
Creatine-phosphate	1.5	1.5	1.5	1.5	1.5	1.1	0.2	0.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0.1	1.1	0.9	0.1	2.3	0.1
Creatinine	1.4	1.4	1.4	1.4	1.4	1.5	0.5	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	1.9	1.9	2.2	2	2.7	1.9
Cytidine	0.4	0.4	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0.4	0.4	0	0.4
Cytosine	0	0	0	0	0	0	0	0	0	1.2	1.7	2.1	3.1	2.3	2.6	1.9	1.1	0.9	2	0.8	0	0	0	0	0	0
Ethanolamine	18.6	16.8	18	17.9	27.1	4.5	3.3	1.3	0.5	0	0	0	7.7	7.6	6.4	0.9	2.2	1.2	6.2	1.4	22.8	29.4	21.5	24.1	23.5	38.3
Fumarate	1.7	1.7	1.7	1.7	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.2	0.3	0.2	0.4	0.2
Glutamate	72	89.7	62.4	73.1	83.1	0	0	0	0	3.8	5	8.1	15.4	7.7	14.4	4.1	4.5	4.1	15.6	3.5	6.4	6.7	4.7	5.5	3.3	6.2
Glutamine	4.9	4.9	4.9	4.9	4.9	0	0	0	0	1.5	1.5	1.5	3.6	0	5.2	2.6	1.3	1.5	2.6	1.1	0.9	0.4	0.6	0.3	0.4	0.4
Glutarate	6.3	6.3	6.3	5.6	6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.7	1.6	1.5	1.2	2.4
Glutaric-acid-monomethyl-ester	4.8	5.3	4.8	4.8	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.1	1.1	1.5	0.6	1.1
Glutathione	10.2	10.2	10.2	10.2	6.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.9	11.3	8.6	9.7	11.4	10.2
Glycerol	0	0	0	0	0	0	0	0	0	9.3	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycine	24.9	24.9	24.9	24.9	24.9	1.1	1.1	0.8	0.9	1.5	1.5	1.5	7.4	8.2	9.5	3.1	3.9	3.3	13.9	2.5	20	19.6	19.1	21.1	17.1	18.5
Histidine	1	1	1	0.7	1	0	0	0	0	0	0	0	2	1.7	1.6	0.7	0.7	0.7	2.6	0.7	0.6	0.8	0.5	0.6	0.6	1
