26 90																											
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx	EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx	hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx		
2-Aminoadipate	8.2	8.2	8.2	8.2	8.2	2.2	2.2	1.1	1.4	0	0	0	0	0	0	0	0	0	0	0	3.9	5.4	4.5	3.8	3.6	5.4	10.27035385
2-Aminobutyrate	3.9	3.9	3.9	6.3	3.9	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	3.1	3.9	2.9	2.4	2.9	3.9	3.720984615
2-Hydroxyglutarate	31.7	31.7	31.7	31.7	31.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	5.7	5.7	4.1	1.9	5.7	153.0344
2-Hydroxyvalerate	63.2	59.6	60.3	63.2	56.4	8.5	9.7	8.3	5.1	0	0	0	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5	13.5	15.8	20.8	15.2	10.7	15.8	464.6764462
2-Oxobutyrate	0	0	0	0	0	0	0	0	0	0.5	1.2	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141846154
2-Oxoglutarate	1.7	1.7	1.7	1.7	1.7	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0.3	0.2	0.4	1.1	0.4	0.2	0.434538462
2-Phosphoglycerate	33.7	33.7	33.7	33.7	33.7	8.1	8.1	8.1	8.1	0	0	0	0	0	0	0	0	0	0	0	22.5	32.2	30.4	16.8	25.2	33.7	217.1722615
3-Methyl-2-oxovalerate	0	0	0	0	0	0	0	0	0	0.6	0.9	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070338462
4-Aminobutyrate	129.6	143.9	142.8	129.6	138.6	1.8	0.9	1.8	1.3	2.7	4.9	5.4	7.2	3.5	4.6	1	2.9	2.2	5	1.4	3.3	7.2	4.6	2.2	2.9	3.3	2892.177846
5-Hydroxylysine	46.7	43.1	34.4	32.8	35.8	0	0	0	0	9.7	12.3	17.8	0	0	0	0	0	0	0	0	0.9	9.3	13	11.4	9.3	9.3	222.3679385
Acetamide	18.3	18.3	18.3	18.3	16.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.41046154
Acetate	6.3	6.3	6.3	6.3	6.8	0	0	0	0	0.7	1	1.2	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8	3.2	3	3	2.9	2.7	2.8	41.461
Adenine	7.5	7.5	7.1	7.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	2	2.8	1.3	1.8	2.7	8.339753846
Adenosine	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006461538
ADP	11.5	11.4	12.9	12.8	12.5	1.7	1.7	1.5	1.3	2	2	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.57433846
Alanine	30.6	31.1	30.6	29.8	37.2	1.8	1.6	1.3	1.1	1.5	3.4	4.4	15	15.3	20.9	2.4	4.6	4.8	26.5	3.6	4.2	4.3	4	4.3	2.5	4.6	145.8743385
Alloisoleucine	0	0	0	0	0	0	0	0	0	1.5	1.3	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199338462
AMP	16.9	18.7	16.7	15.9	18	0.7	0.6	0.6	0.7	0.7	1	1.4	4.5	3.4	2.5	3.7	2.7	1.6	1	1.1	0	0	0	0	0	0	42.96184615
Anserine	7.8	6.2	7.8	6	6.2	0.4	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	1.3	1.7	1.3	1.1	1.3	1.3	6.917846154
Arginine	10.3	10.3	7.3	5.9	10.3	0.5	0.5	0.5	0.5	1	1.9	0.4	12.7	14.1	19.7	2.3	3.5	3.8	13	1.9	8	7.2	6.8	4.8	3.1	6.8	26.26573846
Ascorbate	2.2	2.2	2.2	2.2	2.2	1.2	1.2	1.2	0.8	0	0	0	0	0	0	0	0	0	0	0	3.6	2.5	2.2	1.5	2.2	2.2	1.257661538
Asparagine	12.1	12.1	18.1	12.1	12.1	3.5	1.1	3.5	1.1	0	0	0	0	0	0	0	0	0	0	0	7	5.6	8.2	4.6	6.1	8.2	28.04726154
Aspartate	7.2	7.2	7.2	7.2	7.2	1.1	1.1	1.1	1.1	0	0	0	5.6	5.2	5.3	3.3	1.4	1.2	5.2	1.3	3.5	3	3.3	1.9	3.3	3.3	6.344984615
ATP	1	1	1.3	1.2	1	0.5	0.6	0.5	1.5	0.5	0.4	0.4	0	0	0	0	0	0	0	0	8.4	9.1	9.3	9.6	10.6	9.5	14.99458462
Butanone	4.5	4.5	4.5	4.5	4.5	1.2	0.8	0.7	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.140384615
