2-Aminoadipate	8.2	8.2	8.2	8.2	8.2	2.2	2.2	1.1	1.4	3.9	5.4	4.5	3.8	3.6	5.4	0	0	0
2-Aminobutyrate	3.9	3.9	3.9	6.3	3.9	0.5	0.5	0.5	0.5	3.1	3.9	2.9	2.4	2.9	3.9	0	0	0
2-Hydroxyglutarate	31.7	31.7	31.7	31.7	31.7	0	0	0	0	5.6	5.7	5.7	4.1	1.9	5.7	0	0	0
2-Hydroxyvalerate	63.2	59.6	60.3	63.2	56.4	8.5	9.7	8.3	5.1	13.5	15.8	20.8	15.2	10.7	15.8	0	0	0
2-Oxobutyrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.2	1.5
2-Oxoglutarate	1.7	1.7	1.7	1.7	1.7	0.2	0.2	0.2	0.2	0.3	0.2	0.4	1.1	0.4	0.2	0	0	0
2-Phosphoglycerate	33.7	33.7	33.7	33.7	33.7	8.1	8.1	8.1	8.1	22.5	32.2	30.4	16.8	25.2	33.7	0	0	0
3-Methyl-2-oxovalerate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.9	0.9
4-Aminobutyrate	129.6	143.9	142.8	129.6	138.6	1.8	0.9	1.8	1.3	3.3	7.2	4.6	2.2	2.9	3.3	2.7	4.9	5.4
5-Hydroxylysine	46.7	43.1	34.4	32.8	35.8	0	0	0	0	0.9	9.3	13	11.4	9.3	9.3	9.7	12.3	17.8
Acetamide	18.3	18.3	18.3	18.3	16.8	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetate	6.3	6.3	6.3	6.3	6.8	0	0	0	0	3.2	3	3	2.9	2.7	2.8	0.7	1	1.2
Adenine	7.5	7.5	7.1	7.5	7.5	0	0	0	0	2.1	2	2.8	1.3	1.8	2.7	0	0	0
Adenosine	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP	11.5	11.4	12.9	12.8	12.5	1.7	1.7	1.5	1.3	0	0	0	0	0	0	2	2	1.7
Alanine	30.6	31.1	30.6	29.8	37.2	1.8	1.6	1.3	1.1	4.2	4.3	4	4.3	2.5	4.6	1.5	3.4	4.4
Alloisoleucine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.3	1.3
AMP	16.9	18.7	16.7	15.9	18	0.7	0.6	0.6	0.7	0	0	0	0	0	0	0.7	1	1.4
Anserine	7.8	6.2	7.8	6	6.2	0.4	0.4	0.4	0.4	1.3	1.7	1.3	1.1	1.3	1.3	0	0	0
Arginine	10.3	10.3	7.3	5.9	10.3	0.5	0.5	0.5	0.5	8	7.2	6.8	4.8	3.1	6.8	1	1.9	0.4
Ascorbate	2.2	2.2	2.2	2.2	2.2	1.2	1.2	1.2	0.8	3.6	2.5	2.2	1.5	2.2	2.2	0	0	0
Asparagine	12.1	12.1	18.1	12.1	12.1	3.5	1.1	3.5	1.1	7	5.6	8.2	4.6	6.1	8.2	0	0	0
Aspartate	7.2	7.2	7.2	7.2	7.2	1.1	1.1	1.1	1.1	3.5	3	3.3	1.9	3.3	3.3	0	0	0
ATP	1	1	1.3	1.2	1	0.5	0.6	0.5	1.5	8.4	9.1	9.3	9.6	10.6	9.5	0.5	0.4	0.4
Butanone	4.5	4.5	4.5	4.5	4.5	1.2	0.8	0.7	0.7	0	0	0	0	0	0	0	0	0
Caprate	4.6	4.6	4.6	4.6	4.6	2.6	1.6	1.3	1.2	5	6.9	5.7	6.2	1.9	8.2	0	0	0
Carnitine	2.1	2.1	2.1	2.1	2.1	0.5	0.2	0.3	0.2	0	0	0	0	0	0	0.2	0.5	0.5
Carnosine	1.2	1.2	1.2	1.2	1.2	0	0	0	0	1.7	1.4	1.2	1.3	1.3	1.2	0	0	0
Choline	2.8	2.3	2.4	1.7	1.9	0.8	0.7	0.7	0.6	0.5	0.5	0.5	0.4	0.2	0.5	0.7	1.4	1.7
Citrate	4.4	4.4	4.4	4.4	4.4	1	0.5	0.6	0.6	0.5	0.4	1	0.5	0.9	1.1	0.9	1	0.8
Citrulline	1.6	1.6	1.6	1.6	1.6	0	0	0	0	2.3	1.6	1.6	1.6	1.6	1.6	0	0	0
Creatine	4.9	4.9	4.9	4.9	4.9	0.4	0.2	0.4	0.2	1.3	1.2	1	1.5	1	1	0	0	0
